"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level2"
"2","ALBANIA","level10"
"3","ALGERIA","level2"
"4","AMERICAN SAMOA","level3"
"5","ANDORRA","level2"
"6","ANGOLA","level10"
"7","ANTIGUA AND BARBUDA","level1"
"8","ARGENTINA","level2"
"9","ARMENIA","level2"
"10","ARUBA","level8"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level1"
"13","AZERBAIJAN","level8"
"14","BAHRAIN","level14"
"15","BANGLADESH","level15"
"16","BARBADOS","level6"
"17","BELARUS","level8"
"18","BELGIUM","level15"
"19","BELIZE","level12"
"20","BENIN","level9"
"21","BERMUDA","level8"
"22","BHUTAN","level6"
"23","BOLIVIA","level9"
"24","BOSNIA HERZEGOVINA","level2"
"25","BOTSWANA","level2"
"26","BR. VIRGIN ISLAND","level15"
"27","BRAZIL","level6"
"28","BRUNEI","level6"
"29","BULGARIA","level2"
"30","BURKINA FASO","level3"
"31","BURUNDI","level6"
"32","CAMBODIA","level11"
"33","CAMEROON","level3"
"34","CANADA","level2"
"35","CAPE VERDE","level2"
"36","CAYMAN ISLANDS","level8"
"37","CENTRAL AFRICAN REP","level6"
"38","CHAD","level3"
"39","CHILE","level14"
"40","CHINA","level3"
"41","COLOMBIA","level6"
"42","COMOROS","level6"
"43","CONGO","level2"
"44","COSTA RICA","level1"
"45","CROATIA","level1"
"46","CUBA","level1"
"47","CYPRUS","level5"
"48","CZECH REPUBLIC","level3"
"49","DEM. REP. CONGO","level6"
"50","DENMARK","level6"
"51","DJIBOUTI","level8"
"52","DOMINICA","level2"
"53","DOMINICAN REPUBLIC","level1"
"54","ECUADOR","level8"
"55","EGYPT","level8"
"56","EL SALVADOR","level2"
"57","EQUATORIAL GUINEA","level8"
"58","ERITREA","level6"
"59","ESTONIA","level6"
"60","ETHIOPIA","level8"
"61","FAEROE ISLANDS","level6"
"62","FIJI","level8"
"63","FINLAND","level10"
"64","FR. SOUTHERN TERRIT.","level2"
"65","FRENCH GUIANA","level3"
"66","FRENCH POLYNESIA","level2"
"67","GABON","level5"
"68","GEORGIA","level8"
"69","GERMANY","level3"
"70","GHANA","level2"
"71","GIBRALTAR","level6"
"72","GREECE","level6"
"73","GREENLAND","level6"
"74","GUADELOUPE","level14"
"75","GUATEMALA","level6"
"76","GUERNSEY","level2"
"77","GUINEA","level8"
"78","GUINEA-BISSAU","level8"
"79","GUYANA","level6"
"80","HAITI","level1"
"81","HONDURAS","level6"
"82","HONG KONG","level8"
"83","HUNGARY","level6"
"84","ICELAND","level2"
"85","INCONNU","level2"
"86","INDIA","level6"
"87","INDONESIA","level2"
"88","IRAN","level7"
"89","IRAQ","level1"
"90","IRELAND","level6"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level2"
"93","ITALY","level8"
"94","IVORY COAST","level5"
"95","JAMAICA","level11"
"96","JAPAN","level8"
"97","JERSEY","level14"
"98","JORDAN","level2"
"99","KAZAKHSTAN","level3"
"100","KENYA","level1"
"101","KOSOVO","level9"
"102","KUWAIT","level11"
"103","KYRGYZSTAN","level12"
"104","LAOS","level12"
"105","LATVIA","level5"
"106","LEBANON","level8"
"107","LESOTHO","level1"
"108","LIBERIA","level2"
"109","LIBYA","level10"
"110","LITHUANIA","level2"
"111","LUXEMBOURG","level1"
"112","MACAU","level6"
"113","MACEDONIA (FYROM)","level2"
"114","MADAGASCAR","level1"
"115","MALAWI","level6"
"116","MALAYSIA","level10"
"117","MALDIVES","level8"
"118","MALI","level3"
"119","MALTA","level8"
"120","MARTINIQUE","level7"
"121","MAURITANIA","level2"
"122","MAURITIUS","level6"
"123","MAYOTTE","level11"
"124","MEXICO","level7"
"125","MOLDOVA","level19"
"126","MONACO","level2"
"127","MONGOLIA","level8"
"128","MONTENEGRO","level16"
"129","MOROCCO","level8"
"130","MOZAMBIQUE","level1"
"131","MYANMAR","level14"
"132","NAMIBIA","level13"
"133","NEPAL","level1"
"134","NETHERLANDS","level9"
"135","NETHERLANDS ANTILLES","level2"
"136","NEW CALEDONIA","level10"
"137","NEW ZEALAND","level6"
"138","NICARAGUA","level10"
"139","NIGER","level6"
"140","NIGERIA","level2"
"141","NORTH KOREA","level12"
"142","NORWAY","level12"
"143","OMAN","level1"
"144","PAKISTAN","level11"
"145","PALESTINIAN TERRIT.","level8"
"146","PANAMA","level12"
"147","PAPUA NEW GUINEA","level2"
"148","PARAGUAY","level8"
"149","PERU","level10"
"150","PHILIPPINES","level2"
"151","PITCAIRN ISLANDS","level8"
"152","POLAND","level17"
"153","PORTUGAL","level8"
"154","PUERTO RICO","level12"
"155","QATAR","level3"
"156","REUNION","level8"
"157","ROMANIA","level6"
"158","RUSSIA","level8"
"159","RWANDA","level3"
"160","SAINT LUCIA","level6"
"161","SAMOA","level6"
"162","SAO TOME & PRINC.","level12"
"163","SAUDI ARABIA","level13"
"164","SENEGAL","level6"
"165","SERBIA","level8"
"166","SERBIA MONTENEGRO","level9"
"167","SEYCHELLES","level8"
"168","SIERRA LEONE","level1"
"169","SINGAPORE","level12"
"170","SLOVAKIA","level3"
"171","SLOVENIA","level3"
"172","SOLOMON ISLANDS","level2"
"173","SOMALIA","level2"
"174","SOUTH AFRICA","level16"
"175","SOUTH KOREA","level9"
"176","SOUTH SUDAN","level3"
"177","SPAIN","level1"
"178","SRI LANKA","level6"
"179","ST VINCENT & GREN.","level16"
"180","SUDAN","level3"
"181","SURINAME","level16"
"182","SWAZILAND","level6"
"183","SWEDEN","level2"
"184","SWITZERLAND","level9"
"185","SYRIA","level2"
"186","TAIWAN","level3"
"187","TAJIKISTAN","level2"
"188","TANZANIA","level2"
"189","THAILAND","level4"
"190","THE BAHAMAS","level6"
"191","THE GAMBIA","level8"
"192","TIMOR-LESTE","level3"
"193","TOGO","level9"
"194","TONGA","level16"
"195","TRINIDAD AND TOBAGO","level2"
"196","TUNISIA","level6"
"197","TURKEY","level8"
"198","TURKMENISTAN","level6"
"199","TURKS & CAICOS","level2"
"200","UGANDA","level16"
"201","UKRAINE","level5"
"202","UNITED ARAB EMIRATES","level2"
"203","UNITED KINGDOM","level5"
"204","URUGUAY","level8"
"205","US MINOR OUT. ISL.","level2"
"206","US VIRGIN ISLANDS","level4"
"207","USA","level5"
"208","UZBEKISTAN","level1"
"209","VANUATU","level18"
"210","VENEZUELA","level6"
"211","VIETNAM","level1"
"212","WALLIS AND FUTUNA","level15"
"213","YEMEN","level13"
"214","ZAMBIA","level8"
"215","ZIMBABWE","level1"
"216","ZZ_FRANCE","level8"
