"","pays_expat","group_pays_cout"
"110","ANTIGUA AND BARBUDA","G1"
"210","ARMENIA","G1"
"3","ARUBA","G1"
"4","BARBADOS","G1"
"5","BELARUS","G1"
"610","BELIZE","G1"
"72","BERMUDA","G1"
"81","BHUTAN","G1"
"91","Bosnia and Herzegovina","G1"
"10","BOTSWANA","G1"
"111","CAPE VERDE","G1"
"121","COMOROS","G1"
"13","COSTA RICA","G1"
"141","DOMINICA","G1"
"151","EL SALVADOR","G1"
"161","ERITREA","G1"
"17","ETHIOPIA","G1"
"18","FAEROE ISLANDS","G1"
"191","FIJI","G1"
"20","FR. SOUTHERN TERRIT.","G1"
"211","GEORGIA","G1"
"222","GIBRALTAR","G1"
"231","GREENLAND","G1"
"241","GUADELOUPE","G1"
"251","GUATEMALA","G1"
"26","GUERNSEY","G1"
"271","GUINEA-BISSAU","G1"
"28","GUYANA","G1"
"29","ICELAND","G1"
"30","ISLE OF MAN","G1"
"31","JAMAICA","G1"
"321","JERSEY","G1"
"33","KOSOVO","G1"
"341","KYRGYZSTAN","G1"
"35","LESOTHO","G1"
"36","MACAU","G1"
"37","MACEDONIA","G1"
"38","MALAWI","G1"
"391","MALDIVES","G1"
"40","MOLDOVA","G1"
"411","MONGOLIA","G1"
"421","MONTENEGRO","G1"
"43","NEPAL","G1"
"44","NICARAGUA","G1"
"45","NORTH KOREA","G1"
"461","PALESTINIAN TERRIT.","G1"
"47","PAPUA NEW GUINEA","G1"
"48","PARAGUAY","G1"
"491","PERU","G1"
"50","PITCAIRN ISLANDS","G1"
"512","PUERTO RICO","G1"
"52","SAINT LUCIA","G1"
"53","SAMOA","G1"
"54","SAO TOME & PRINC.","G1"
"551","SERBIA MONTENEGRO","G1"
"56","SIERRA LEONE","G1"
"57","SLOVENIA","G1"
"58","SOLOMON ISLANDS","G1"
"59","SOMALIA","G1"
"60","SOUTH SUDAN","G1"
"61","ST VINCENT & GREN.","G1"
"62","SWAZILAND","G1"
"63","TAJIKISTAN","G1"
"64","TIMOR-LESTE","G1"
"65","TONGA","G1"
"66","TURKS & CAICOS","G1"
"671","US MINOR OUT. ISL.","G1"
"68","US VIRGIN ISLANDS","G1"
"69","ZAMBIA","G1"
"2","INDONESIA","G2"
"6","INDIA","G2"
"7","IRAN","G2"
"14","CONGO","G2"
"21","EGYPT","G2"
"23","PHILIPPINES","G2"
"25","BR. VIRGIN ISLAND","G2"
"27","THAILAND","G2"
"42","MALAYSIA","G2"
"46","ANGOLA","G2"
"49","BRUNEI","G2"
"67","SUDAN","G2"
"70","URUGUAY","G2"
"71","PAKISTAN","G2"
"155","CAMEROON","G2"
"226","MYANMAR","G2"
"283","GABON","G2"
"305","TAIWAN","G2"
"354","NIGERIA","G2"
"358","CZECH REPUBLIC","G2"
"367","SENEGAL","G2"
"413","MALI","G2"
"415","TUNISIA","G2"
"447","NIGER","G2"
"457","MOROCCO","G2"
"472","THE BAHAMAS","G2"
"497","HAITI","G2"
"574","HUNGARY","G2"
"596","DJIBOUTI","G2"
"621","SEYCHELLES","G2"
"632","DEMOCRATIC REPUBLIC OF THE CONGO","G2"
"648","IVORY COAST","G2"
"802","CAMBODIA","G2"
"807","MADAGASCAR","G2"
"815","ESTONIA","G2"
"836","BULGARIA","G2"
"883","EQUATORIAL GUINEA","G2"
"886","ECUADOR","G2"
"917","GREECE","G2"
"928","REUNION","G2"
"961","LUXEMBOURG","G2"
"965","CROATIA","G2"
"979","SYRIA","G2"
"1185","CUBA","G2"
"1248","SWEDEN","G2"
"1415","ANDORRA","G2"
"1503","NORWAY","G2"
"1526","MOZAMBIQUE","G2"
"1585","Central African Republic","G2"
"1711","SERBIA","G2"
"1800","SRI LANKA","G2"
"1992","GUINEA","G2"
"2049","DOMINICAN REPUBLIC","G2"
"2233","NETHERLANDS ANTILLES","G2"
"2286","RWANDA","G2"
"2426","MAYOTTE","G2"
"2661","KENYA","G2"
"3024","NEW CALEDONIA","G2"
"3214","BURKINA FASO","G2"
"3255","CAYMAN ISLANDS","G2"
"3338","TOGO","G2"
"3467","FINLAND","G2"
"4183","LIBERIA","G2"
"4203","BENIN","G2"
"4376","NAMIBIA","G2"
"4604","UGANDA","G2"
"4685","SURINAME","G2"
"4768","AMERICAN SAMOA","G2"
"4960","LITHUANIA","G2"
"5446","ALBANIA","G2"
"5544","MARTINIQUE","G2"
"5865","BURUNDI","G2"
"6034","WALLIS AND FUTUNA","G2"
"8","QATAR","G3"
"9","GHANA","G3"
"11","SAUDI ARABIA","G3"
"12","FRANCE","G3"
"15","YEMEN","G3"
"19","LIBYA","G3"
"22","KUWAIT","G3"
"24","INCONNU","G3"
"32","OMAN","G3"
"34","VIETNAM","G3"
"55","SLOVAKIA","G3"
"112","GERMANY","G3"
"115","JAPAN","G3"
"124","ALGERIA","G3"
"172","CHINA","G3"
"185","SOUTH AFRICA","G3"
"198","VENEZUELA","G3"
"221","MEXICO","G3"
"258","JORDAN","G3"
"301","TURKEY","G3"
"315","KAZAKHSTAN","G3"
"318","POLAND","G3"
"325","RUSSIA","G3"
"373","ROMANIA","G3"
"387","SOUTH KOREA","G3"
"594","CHAD","G3"
"932","CANADA","G3"
"982","ARGENTINA","G3"
"1187","FRENCH POLYNESIA","G3"
"1223","VANUATU","G3"
"1598","NETHERLANDS","G3"
"1812","AZERBAIJAN","G3"
"2272","TANZANIA","G3"
"2391","COLOMBIA","G3"
"2963","LAOS","G3"
"3828","BANGLADESH","G3"
"4286","THE GAMBIA","G3"
"4991","HONDURAS","G3"
"1","UNITED ARAB EMIRATES","G4"
"16","UNITED KINGDOM","G4"
"39","ITALY","G4"
"51","SINGAPORE","G4"
"227","TRINIDAD AND TOBAGO","G4"
"314","HONG KONG","G4"
"334","BRAZIL","G4"
"349","BELGIUM","G4"
"362","AFGHANISTAN","G4"
"379","MAURITIUS","G4"
"402","SPAIN","G4"
"432","AUSTRIA","G4"
"462","TURKMENISTAN","G4"
"511","PORTUGAL","G4"
"808","MONACO","G4"
"880","UKRAINE","G4"
"909","BAHRAIN","G4"
"973","MAURITANIA","G4"
"1373","CHILE","G4"
"1849","NEW ZEALAND","G4"
"3223","PANAMA","G4"
"41","AUSTRALIA","G5"
"144","IRAQ","G5"
"202","MALTA","G5"
"296","SWITZERLAND","G5"
"748","FRENCH GUIANA","G5"
"1550","LEBANON","G5"
"1858","CYPRUS","G5"
"3173","IRELAND","G5"
"3486","DENMARK","G5"
"5592","BOLIVIA","G5"
"5752","LATVIA","G5"
"6200","UZBEKISTAN","G5"
"359","USA","G6"
"4290","ZIMBABWE","G6"
"6063","ISRAEL","G6"
