"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level2"
"2","ALBANIA","level7"
"3","ALGERIA","level14"
"4","AMERICAN SAMOA","level10"
"5","ANDORRA","level14"
"6","ANGOLA","level1"
"7","ANTIGUA AND BARBUDA","level1"
"8","ARGENTINA","level2"
"9","ARMENIA","level2"
"10","ARUBA","level14"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level1"
"13","AZERBAIJAN","level14"
"14","BAHRAIN","level4"
"15","BANGLADESH","level16"
"16","BARBADOS","level2"
"17","BELARUS","level14"
"18","BELGIUM","level15"
"19","BELIZE","level10"
"20","BENIN","level11"
"21","BERMUDA","level14"
"22","BHUTAN","level2"
"23","BOLIVIA","level11"
"24","BOSNIA HERZEGOVINA","level2"
"25","BOTSWANA","level6"
"26","BR. VIRGIN ISLAND","level16"
"27","BRAZIL","level7"
"28","BRUNEI","level2"
"29","BULGARIA","level2"
"30","BURKINA FASO","level10"
"31","BURUNDI","level10"
"32","CAMBODIA","level12"
"33","CAMEROON","level10"
"34","CANADA","level2"
"35","CAPE VERDE","level2"
"36","CAYMAN ISLANDS","level14"
"37","CENTRAL AFRICAN REP","level2"
"38","CHAD","level3"
"39","CHILE","level4"
"40","CHINA","level3"
"41","COLOMBIA","level2"
"42","COMOROS","level10"
"43","CONGO","level2"
"44","COSTA RICA","level1"
"45","CROATIA","level1"
"46","CUBA","level1"
"47","CYPRUS","level8"
"48","CZECH REPUBLIC","level3"
"49","DEM. REP. CONGO","level10"
"50","DENMARK","level10"
"51","DJIBOUTI","level14"
"52","DOMINICA","level2"
"53","DOMINICAN REPUBLIC","level1"
"54","ECUADOR","level1"
"55","EGYPT","level14"
"56","EL SALVADOR","level2"
"57","EQUATORIAL GUINEA","level1"
"58","ERITREA","level10"
"59","ESTONIA","level2"
"60","ETHIOPIA","level14"
"61","FAEROE ISLANDS","level2"
"62","FIJI","level14"
"63","FINLAND","level1"
"64","FR. SOUTHERN TERRIT.","level2"
"65","FRENCH GUIANA","level3"
"66","FRENCH POLYNESIA","level2"
"67","GABON","level8"
"68","GEORGIA","level2"
"69","GERMANY","level10"
"70","GHANA","level2"
"71","GIBRALTAR","level10"
"72","GREECE","level10"
"73","GREENLAND","level2"
"74","GUADELOUPE","level4"
"75","GUATEMALA","level2"
"76","GUERNSEY","level2"
"77","GUINEA","level14"
"78","GUINEA-BISSAU","level14"
"79","GUYANA","level2"
"80","HAITI","level1"
"81","HONDURAS","level10"
"82","HONG KONG","level14"
"83","HUNGARY","level10"
"84","ICELAND","level2"
"85","INCONNU","level2"
"86","INDIA","level10"
"87","INDONESIA","level2"
"88","IRAN","level9"
"89","IRAQ","level14"
"90","IRELAND","level2"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level2"
"93","ITALY","level2"
"94","IVORY COAST","level5"
"95","JAMAICA","level12"
"96","JAPAN","level6"
"97","JERSEY","level4"
"98","JORDAN","level2"
"99","KAZAKHSTAN","level10"
"100","KENYA","level14"
"101","KOSOVO","level11"
"102","KUWAIT","level12"
"103","KYRGYZSTAN","level13"
"104","LAOS","level13"
"105","LATVIA","level8"
"106","LEBANON","level6"
"107","LESOTHO","level1"
"108","LIBERIA","level2"
"109","LIBYA","level7"
"110","LITHUANIA","level2"
"111","LUXEMBOURG","level1"
"112","MACAU","level10"
"113","MACEDONIA (FYROM)","level14"
"114","MADAGASCAR","level1"
"115","MALAWI","level10"
"116","MALAYSIA","level1"
"117","MALDIVES","level14"
"118","MALI","level10"
"119","MALTA","level14"
"120","MARTINIQUE","level8"
"121","MAURITANIA","level2"
"122","MAURITIUS","level2"
"123","MAYOTTE","level12"
"124","MEXICO","level9"
"125","MOLDOVA","level19"
"126","MONACO","level2"
"127","MONGOLIA","level1"
"128","MONTENEGRO","level3"
"129","MOROCCO","level14"
"130","MOZAMBIQUE","level1"
"131","MYANMAR","level4"
"132","NAMIBIA","level4"
"133","NEPAL","level1"
"134","NETHERLANDS","level15"
"135","NETHERLANDS ANTILLES","level2"
"136","NEW CALEDONIA","level7"
"137","NEW ZEALAND","level2"
"138","NICARAGUA","level1"
"139","NIGER","level10"
"140","NIGERIA","level2"
"141","NORTH KOREA","level13"
"142","NORWAY","level13"
"143","OMAN","level1"
"144","PAKISTAN","level12"
"145","PALESTINIAN TERRIT.","level6"
"146","PANAMA","level13"
"147","PAPUA NEW GUINEA","level2"
"148","PARAGUAY","level1"
"149","PERU","level1"
"150","PHILIPPINES","level2"
"151","PITCAIRN ISLANDS","level14"
"152","POLAND","level17"
"153","PORTUGAL","level6"
"154","PUERTO RICO","level13"
"155","QATAR","level3"
"156","REUNION","level6"
"157","ROMANIA","level10"
"158","RUSSIA","level6"
"159","RWANDA","level10"
"160","SAINT LUCIA","level10"
"161","SAMOA","level2"
"162","SAO TOME & PRINC.","level13"
"163","SAUDI ARABIA","level6"
"164","SENEGAL","level10"
"165","SERBIA","level14"
"166","SERBIA MONTENEGRO","level11"
"167","SEYCHELLES","level14"
"168","SIERRA LEONE","level1"
"169","SINGAPORE","level10"
"170","SLOVAKIA","level10"
"171","SLOVENIA","level10"
"172","SOLOMON ISLANDS","level2"
"173","SOMALIA","level6"
"174","SOUTH AFRICA","level3"
"175","SOUTH KOREA","level15"
"176","SOUTH SUDAN","level10"
"177","SPAIN","level1"
"178","SRI LANKA","level10"
"179","ST VINCENT & GREN.","level3"
"180","SUDAN","level10"
"181","SURINAME","level3"
"182","SWAZILAND","level10"
"183","SWEDEN","level2"
"184","SWITZERLAND","level15"
"185","SYRIA","level2"
"186","TAIWAN","level10"
"187","TAJIKISTAN","level2"
"188","TANZANIA","level2"
"189","THAILAND","level4"
"190","THE BAHAMAS","level2"
"191","THE GAMBIA","level14"
"192","TIMOR-LESTE","level10"
"193","TOGO","level15"
"194","TONGA","level3"
"195","TRINIDAD AND TOBAGO","level2"
"196","TUNISIA","level10"
"197","TURKEY","level14"
"198","TURKMENISTAN","level6"
"199","TURKS & CAICOS","level2"
"200","UGANDA","level3"
"201","UKRAINE","level5"
"202","UNITED ARAB EMIRATES","level6"
"203","UNITED KINGDOM","level5"
"204","URUGUAY","level1"
"205","US MINOR OUT. ISL.","level2"
"206","US VIRGIN ISLANDS","level5"
"207","USA","level5"
"208","UZBEKISTAN","level1"
"209","VANUATU","level18"
"210","VENEZUELA","level2"
"211","VIETNAM","level1"
"212","WALLIS AND FUTUNA","level16"
"213","YEMEN","level4"
"214","ZAMBIA","level2"
"215","ZIMBABWE","level1"
"216","ZZ_FRANCE","level14"
