"","pays_expat","group_pays_cout"
"110","ANTIGUA AND BARBUDA","G1"
"210","ARMENIA","G1"
"36","ARUBA","G1"
"41","BHUTAN","G1"
"51","CAPE VERDE","G1"
"61","CAYMAN ISLANDS","G1"
"71","DOMINICA","G1"
"81","ERITREA","G1"
"91","FIJI","G1"
"101","FR. SOUTHERN TERRIT.","G1"
"111","GIBRALTAR","G1"
"12","GREENLAND","G1"
"132","GUINEA-BISSAU","G1"
"141","GUYANA","G1"
"15","ICELAND","G1"
"16","ISLE OF MAN","G1"
"17","KOSOVO","G1"
"18","KYRGYZSTAN","G1"
"191","LESOTHO","G1"
"20","MACEDONIA","G1"
"21","MALDIVES","G1"
"221","PARAGUAY","G1"
"23","PITCAIRN ISLANDS","G1"
"24","SAINT LUCIA","G1"
"25","SAMOA","G1"
"26","SOLOMON ISLANDS","G1"
"27","SOMALIA","G1"
"281","SOUTH SUDAN","G1"
"29","ST VINCENT & GREN.","G1"
"301","SWAZILAND","G1"
"31","TAJIKISTAN","G1"
"32","TIMOR-LESTE","G1"
"33","TONGA","G1"
"341","US VIRGIN ISLANDS","G1"
"35","ZIMBABWE","G1"
"30","MOROCCO","G2"
"54","IRAN","G2"
"193","MALI","G2"
"303","URUGUAY","G2"
"315","BR. VIRGIN ISLAND","G2"
"348","SYRIA","G2"
"584","COSTA RICA","G2"
"2422","BULGARIA","G2"
"3229","MAURITIUS","G2"
"3446","BANGLADESH","G2"
"3577","MADAGASCAR","G2"
"3648","MACAU","G2"
"3912","SLOVENIA","G2"
"4352","NAMIBIA","G2"
"5182","TURKS & CAICOS","G2"
"5509","GUADELOUPE","G2"
"6573","NICARAGUA","G2"
"6767","JAMAICA","G2"
"9196","NETHERLANDS ANTILLES","G2"
"9491","CAMBODIA","G2"
"9762","MONTENEGRO","G2"
"10418","MONGOLIA","G2"
"11705","BURUNDI","G2"
"15731","COMOROS","G2"
"20305","SEYCHELLES","G2"
"20320","TOGO","G2"
"23777","MAYOTTE","G2"
"32478","PUERTO RICO","G2"
"39071","JERSEY","G2"
"42525","THE GAMBIA","G2"
"44585","BELIZE","G2"
"45780","SIERRA LEONE","G2"
"45907","GUERNSEY","G2"
"53401","SURINAME","G2"
"64625","BOTSWANA","G2"
"65287","SAO TOME & PRINC.","G2"
"66101","BELARUS","G2"
"1","YEMEN","G3"
"7","VIETNAM","G3"
"10","THAILAND","G3"
"11","ECUADOR","G3"
"49","BRUNEI","G3"
"52","GABON","G3"
"310","PHILIPPINES","G3"
"355","BOLIVIA","G3"
"358","EGYPT","G3"
"411","CAMEROON","G3"
"460","NEW ZEALAND","G3"
"703","PAKISTAN","G3"
"972","BELGIUM","G3"
"1528","TUNISIA","G3"
"2334","IVORY COAST","G3"
"3094","AFGHANISTAN","G3"
"3867","SENEGAL","G3"
"4286","DOMINICAN REPUBLIC","G3"
"4405","LATVIA","G3"
"6100","ZAMBIA","G3"
"7421","MAURITANIA","G3"
"10783","LITHUANIA","G3"
"34","INDONESIA","G4"
"38","MALAYSIA","G4"
"155","INDIA","G4"
"201","INCONNU","G4"
"205","OMAN","G4"
"285","PERU","G4"
"430","ARGENTINA","G4"
"448","MALTA","G4"
"456","SOUTH AFRICA","G4"
"657","PORTUGAL","G4"
"678","CHILE","G4"
"844","IRAQ","G4"
"935","AUSTRIA","G4"
"1578","MOZAMBIQUE","G4"
"2416","GREECE","G4"
"2432","TAIWAN","G4"
"2454","CZECH REPUBLIC","G4"
"3080","MONACO","G4"
"3173","SOUTH KOREA","G4"
"3242","NEW CALEDONIA","G4"
"3740","TANZANIA","G4"
"5020","HAITI","G4"
"5683","MYANMAR","G4"
"5804","SERBIA","G4"
"9497","BENIN","G4"
"16209","AMERICAN SAMOA","G4"
"43206","ALBANIA","G4"
"2","SAUDI ARABIA","G5"
"13","FRANCE","G5"
"185","KUWAIT","G5"
"317","POLAND","G5"
"371","DENMARK","G5"
"377","EQUATORIAL GUINEA","G5"
"395","ITALY","G5"
"427","LEBANON","G5"
"467","JORDAN","G5"
"507","UKRAINE","G5"
"868","ISRAEL","G5"
"4465","LUXEMBOURG","G5"
"4697","CROATIA","G5"
"5211","ANDORRA","G5"
"5801","DJIBOUTI","G5"
"6350","Central African Republic","G5"
"9570","BURKINA FASO","G5"
"10296","FINLAND","G5"
"23765","ESTONIA","G5"
"46080","PALESTINIAN TERRIT.","G5"
"3","NIGERIA","G6"
"8","USA","G6"
"22","AUSTRALIA","G6"
"28","ANGOLA","G6"
"99","SUDAN","G6"
"108","CANADA","G6"
"131","CONGO","G6"
"145","GHANA","G6"
"151","ALGERIA","G6"
"284","LIBYA","G6"
"468","COLOMBIA","G6"
"474","TURKEY","G6"
"1791","HUNGARY","G6"
"2426","SLOVAKIA","G6"
"3201","NIGER","G6"
"3447","GUINEA","G6"
"3776","BAHRAIN","G6"
"7310","BARBADOS","G6"
"20177","WALLIS AND FUTUNA","G6"
"26162","UGANDA","G6"
"6","MEXICO","G7"
"9","VENEZUELA","G7"
"380","TRINIDAD AND TOBAGO","G7"
"389","ROMANIA","G7"
"583","NETHERLANDS","G7"
"715","SPAIN","G7"
"777","FAEROE ISLANDS","G7"
"2759","SWEDEN","G7"
"3482","DEMOCRATIC REPUBLIC OF THE CONGO","G7"
"9022","FRENCH POLYNESIA","G7"
"19109","UZBEKISTAN","G7"
"4","CHINA","G8"
"5","BRAZIL","G8"
"14","RUSSIA","G8"
"39","UNITED ARAB EMIRATES","G8"
"57","QATAR","G8"
"143","KAZAKHSTAN","G8"
"262","SWITZERLAND","G8"
"263","GERMANY","G8"
"725","CHAD","G8"
"804","IRELAND","G8"
"6790","NEPAL","G8"
"17187","VANUATU","G8"
"18008","MARTINIQUE","G8"
"19","NORWAY","G9"
"58","TURKMENISTAN","G9"
"64","UNITED KINGDOM","G9"
"339","SRI LANKA","G9"
"1015","SINGAPORE","G9"
"2401","HONG KONG","G9"
"3187","KENYA","G9"
"6798","SERBIA MONTENEGRO","G9"
"7172","HONDURAS","G9"
"12416","BERMUDA","G9"
"25244","LIBERIA","G9"
"26034","MOLDOVA","G9"
"378","AZERBAIJAN","G10"
"3263","PANAMA","G10"
"4113","THE BAHAMAS","G10"
"5232","CYPRUS","G10"
"5412","MALAWI","G10"
"7340","FRENCH GUIANA","G10"
"27586","Bosnia and Herzegovina","G10"
"30343","PAPUA NEW GUINEA","G10"
"202","JAPAN","G11"
"5707","CUBA","G11"
"8523","LAOS","G11"
"9601","GUATEMALA","G11"
"11273","ETHIOPIA","G11"
"25468","GEORGIA","G11"
"58098","EL SALVADOR","G11"
"10435","REUNION","G12"
"36007","RWANDA","G12"
"36481","US MINOR OUT. ISL.","G12"
"58605","NORTH KOREA","G12"
