"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level2"
"2","ALBANIA","level6"
"3","ALGERIA","level5"
"4","AMERICAN SAMOA","level9"
"5","ANDORRA","level2"
"6","ANGOLA","level6"
"7","ANTIGUA AND BARBUDA","level5"
"8","ARGENTINA","level2"
"9","ARMENIA","level2"
"10","ARUBA","level5"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level5"
"13","AZERBAIJAN","level5"
"14","BAHRAIN","level14"
"15","BANGLADESH","level1"
"16","BARBADOS","level2"
"17","BELARUS","level5"
"18","BELGIUM","level10"
"19","BELIZE","level9"
"20","BENIN","level17"
"21","BERMUDA","level5"
"22","BHUTAN","level2"
"23","BOLIVIA","level10"
"24","BOSNIA HERZEGOVINA","level2"
"25","BOTSWANA","level5"
"26","BR. VIRGIN ISLAND","level4"
"27","BRAZIL","level6"
"28","BRUNEI","level2"
"29","BULGARIA","level2"
"30","BURKINA FASO","level9"
"31","BURUNDI","level2"
"32","CAMBODIA","level11"
"33","CAMEROON","level9"
"34","CANADA","level2"
"35","CAPE VERDE","level2"
"36","CAYMAN ISLANDS","level5"
"37","CENTRAL AFRICAN REP","level2"
"38","CHAD","level3"
"39","CHILE","level14"
"40","CHINA","level3"
"41","COLOMBIA","level2"
"42","COMOROS","level9"
"43","CONGO","level2"
"44","COSTA RICA","level5"
"45","CROATIA","level5"
"46","CUBA","level5"
"47","CYPRUS","level7"
"48","CZECH REPUBLIC","level3"
"49","DEM. REP. CONGO","level2"
"50","DENMARK","level2"
"51","DJIBOUTI","level5"
"52","DOMINICA","level2"
"53","DOMINICAN REPUBLIC","level5"
"54","ECUADOR","level5"
"55","EGYPT","level5"
"56","EL SALVADOR","level2"
"57","EQUATORIAL GUINEA","level5"
"58","ERITREA","level9"
"59","ESTONIA","level2"
"60","ETHIOPIA","level5"
"61","FAEROE ISLANDS","level2"
"62","FIJI","level5"
"63","FINLAND","level1"
"64","FR. SOUTHERN TERRIT.","level2"
"65","FRENCH GUIANA","level3"
"66","FRENCH POLYNESIA","level2"
"67","GABON","level7"
"68","GEORGIA","level2"
"69","GERMANY","level9"
"70","GHANA","level2"
"71","GIBRALTAR","level2"
"72","GREECE","level2"
"73","GREENLAND","level2"
"74","GUADELOUPE","level14"
"75","GUATEMALA","level2"
"76","GUERNSEY","level2"
"77","GUINEA","level5"
"78","GUINEA-BISSAU","level5"
"79","GUYANA","level2"
"80","HAITI","level5"
"81","HONDURAS","level9"
"82","HONG KONG","level5"
"83","HUNGARY","level2"
"84","ICELAND","level2"
"85","INCONNU","level2"
"86","INDIA","level2"
"87","INDONESIA","level2"
"88","IRAN","level12"
"89","IRAQ","level5"
"90","IRELAND","level2"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level2"
"93","ITALY","level5"
"94","IVORY COAST","level12"
"95","JAMAICA","level11"
"96","JAPAN","level5"
"97","JERSEY","level14"
"98","JORDAN","level2"
"99","KAZAKHSTAN","level9"
"100","KENYA","level5"
